2065A,"Operation & Maintenance, ARNG",ARMY,01,Operating Forces,11,Land Forces,060,116,Aviation Assets,Y,"887,625","44,000","931,625","32,804",0,0,"32,804",0,"32,804","920,429","44,000","964,429",U
2065A,"Operation & Maintenance, ARNG",ARMY,01,Operating Forces,12,Land Forces Readiness,070,121,Force Readiness Operations Support,Y,"696,267","1,200","697,467","12,435",0,0,"12,435",0,"12,435","708,702","1,200","709,902",U
2065A,"Operation & Maintenance, ARNG",ARMY,01,Operating Forces,12,Land Forces Readiness,080,122,Land Forces Systems Readiness,Y,"61,240",0,"61,240",0,0,0,0,0,0,"61,240",0,"61,240",U
2065A,"Operation & Maintenance, ARNG",ARMY,01,Operating Forces,12,Land Forces Readiness,090,123,Land Forces Depot Maintenance,Y,"219,948","30,000","249,948",0,0,0,0,0,0,"219,948","30,000","249,948",U
2065A,"Operation & Maintenance, ARNG",ARMY,01,Operating Forces,13,Land Forces Readiness Support,100,131,Base Operations Support,Y,"1,040,012","7,000","1,047,012","18,800",0,0,"18,800",0,"18,800","1,058,812","7,000","1,065,812",U
2065A,"Operation & Maintenance, ARNG",ARMY,01,Operating Forces,13,Land Forces Readiness Support,110,132,"Facilities Sustainment, Restoration & Modernization",Y,"676,715","90,900","767,615",0,0,0,0,0,0,"676,715","90,900","767,615",U
2065A,"Operation & Maintenance, ARNG",ARMY,01,Operating Forces,13,Land Forces Readiness Support,120,133,Management and Operational Headquarters,Y,"1,021,144",0,"1,021,144",920,0,0,920,0,920,"1,022,064",0,"1,022,064",U
2065A,"Operation & Maintenance, ARNG",ARMY,04,Admin & Srvwd Activities,42,Logistics Operations,130,421,Servicewide Transportation,Y,"6,396",0,"6,396",0,0,0,0,0,0,"6,396",0,"6,396",U
2065A,"Operation & Maintenance, ARNG",ARMY,04,Admin & Srvwd Activities,43,Servicewide Support,140,431,Administration,Y,"68,528",0,"68,528",0,0,0,0,0,0,"68,528",0,"68,528",U
2065A,"Operation & Maintenance, ARNG",ARMY,04,Admin & Srvwd Activities,43,Servicewide Support,150,432,Servicewide Communications,Y,"76,524","23,000","99,524",0,0,0,0,0,0,"76,524","23,000","99,524",U
2065A,"Operation & Maintenance, ARNG",ARMY,04,Admin & Srvwd Activities,43,Servicewide Support,160,433,Manpower Management,Y,"7,712",0,"7,712",0,0,0,0,0,0,"7,712",0,"7,712",U
2065A,"Operation & Maintenance, ARNG",ARMY,04,Admin & Srvwd Activities,43,Servicewide Support,170,434,Other Personnel Support,Y,"245,046",0,"245,046",0,0,0,0,0,0,"245,046",0,"245,046",U
2065A,"Operation & Maintenance, ARNG",ARMY,04,Admin & Srvwd Activities,43,Servicewide Support,180,437,Real Estate Management,Y,"2,961",0,"2,961",0,0,0,0,0,0,"2,961",0,"2,961",U
2091A,Afghanistan Security Forces Fund,ARMY,01,Ministry of Defense,27,Defense Forces,010,110,Sustainment,Y,0,0,0,"2,173,341",0,0,"2,173,341",0,"2,173,341","2,173,341",0,"2,173,341",U
2091A,Afghanistan Security Forces Fund,ARMY,01,Ministry of Defense,27,Defense Forces,020,120,Infrastructure,Y,0,0,0,"48,262",0,0,"48,262",0,"48,262","48,262",0,"48,262",U
2091A,Afghanistan Security Forces Fund,ARMY,01,Ministry of Defense,27,Defense Forces,030,130,Equipment and Transportation,Y,0,0,0,"76,216","745,500",0,"821,716",0,"821,716","821,716",0,"821,716",U
2091A,Afghanistan Security Forces Fund,ARMY,01,Ministry of Defense,27,Defense Forces,040,140,Training and Operations,Y,0,0,0,"220,139","69,000",0,"289,139",0,"289,139","289,139",0,"289,139",U
2091A,Afghanistan Security Forces Fund,ARMY,02,Ministry of Interior,28,Interior Forces,050,210,Sustainment,Y,0,0,0,"860,441",0,0,"860,441",0,"860,441","860,441",0,"860,441",U
2091A,Afghanistan Security Forces Fund,ARMY,02,Ministry of Interior,28,Interior Forces,060,220,Infrastructure,Y,0,0,0,"20,837",0,0,"20,837",0,"20,837","20,837",0,"20,837",U
2091A,Afghanistan Security Forces Fund,ARMY,02,Ministry of Interior,28,Interior Forces,070,230,Equipment and Transportation,Y,0,0,0,"8,153",0,0,"8,153",0,"8,153","8,153",0,"8,153",U
2091A,Afghanistan Security Forces Fund,ARMY,02,Ministry of Interior,28,Interior Forces,080,240,Training and Operations,Y,0,0,0,"41,326",0,0,"41,326",0,"41,326","41,326",0,"41,326",U
2097A,Iraq Train and Equip Fund,ARMY,01,Iraq Train and Equip Fund,27,Defense Forces,010,140,Iraq Train and Equip Fund,Y,0,0,0,"630,000","289,500","-630,000","289,500","-289,500",0,"630,000","-630,000",0,U
2099A,Counter-Islamic State of Iraq and Syria Train and Equip Fund,ARMY,01,Counter-ISIS Train and Equip Fund (CTEF),27,Defense Forces,010,110,IRAQ,Y,0,0,0,0,0,"1,076,400","1,076,400",0,"1,076,400",0,"1,076,400","1,076,400",U
2099A,Counter-Islamic State of Iraq and Syria Train and Equip Fund,ARMY,01,Counter-ISIS Train and Equip Fund (CTEF),27,Defense Forces,020,120,SYRIA,Y,0,0,0,0,0,"430,000","430,000",0,"430,000",0,"430,000","430,000",U
