2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,82  ,0604641A,Tactical Unmanned Ground Vehicle (TUGV),Y,"39,282",0,"39,282",0,0,0,0,0,0,"39,282",0,"39,282",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,83  ,0604642A,Light Tactical Wheeled Vehicles,Y,494,0,494,0,0,0,0,0,0,494,0,494,U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,84  ,0604645A,Armored Systems Modernization (ASM) - Eng Dev,Y,"9,678",0,"9,678",0,0,0,0,0,0,"9,678",0,"9,678",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,85  ,0604710A,Night Vision Systems - Eng Dev,Y,"84,519",0,"84,519",0,0,0,0,0,0,"84,519",0,"84,519",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,86  ,0604713A,"Combat Feeding, Clothing, and Equipment",Y,"2,054",0,"2,054",0,0,0,0,0,0,"2,054",0,"2,054",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,87  ,0604715A,Non-System Training Devices - Eng Dev,Y,"30,774","5,000","35,774",33,0,0,33,0,33,"30,807","5,000","35,807",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,88  ,0604741A,"Air Defense Command, Control and Intelligence - Eng Dev",Y,"53,332","8,200","61,532",0,"78,700","65,200","143,900","-78,700","65,200","53,332","73,400","126,732",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,89  ,0604742A,Constructive Simulation Systems Development,Y,"17,887",0,"17,887",0,0,0,0,0,0,"17,887",0,"17,887",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,90  ,0604746A,Automatic Test Equipment Development,Y,"8,813",0,"8,813",0,0,0,0,0,0,"8,813",0,"8,813",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,91  ,0604760A,Distributive Interactive Simulations (DIS) - Eng Dev,Y,"10,487",0,"10,487",0,0,0,0,0,0,"10,487",0,"10,487",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,92  ,0604780A,Combined Arms Tactical Trainer (CATT) Core,Y,"15,068",0,"15,068",0,0,0,0,0,0,"15,068",0,"15,068",U
